iter	Passed	Remaining
0	78	23453
1	97	14550
2	115	11463
3	134	9940
4	155	9176
5	174	8531
6	193	8080
7	211	7733
8	230	7459
9	250	7250
10	270	7098
11	288	6935
12	307	6796
13	327	6682
14	357	6787
15	428	7604
16	458	7640
17	481	7541
18	502	7429
19	528	7405
20	549	7304
21	564	7138
22	584	7038
23	603	6942
24	623	6855
25	642	6774
26	663	6707
27	692	6731
28	725	6782
29	745	6710
30	765	6644
31	785	6576
32	805	6513
33	828	6478
34	851	6450
35	874	6412
36	916	6511
37	951	6562
38	966	6469
39	996	6477
40	1028	6495
41	1047	6436
42	1067	6378
43	1087	6329
44	1107	6273
45	1127	6223
46	1147	6174
47	1169	6137
48	1188	6090
49	1208	6044
50	1229	6001
51	1249	5961
52	1270	5922
53	1291	5882
54	1312	5844
55	1332	5807
56	1353	5769
57	1374	5734
58	1394	5696
59	1416	5666
60	1437	5633
61	1458	5600
62	1482	5576
63	1502	5540
64	1526	5519
65	1548	5489
66	1575	5478
67	1615	5513
68	1665	5575
69	1697	5576
70	1734	5593
71	1900	6017
72	1968	6122
73	2026	6189
74	2091	6275
75	2138	6304
76	2170	6285
77	2269	6457
78	2301	6439
79	2374	6531
80	2474	6690
81	2503	6654
82	2539	6639
83	2564	6594
84	2590	6553
85	2618	6516
86	2651	6490
87	2680	6457
88	2712	6431
89	2741	6397
90	2775	6373
91	2807	6346
92	2849	6343
93	2882	6317
94	2911	6283
95	2943	6255
96	2973	6223
97	3003	6190
98	3029	6149
99	3065	6131
100	3102	6113
101	3128	6073
102	3161	6047
103	3190	6012
104	3220	5981
105	3250	5949
106	3277	5911
107	3300	5867
108	3327	5830
109	3345	5779
110	3364	5728
111	3383	5678
112	3405	5636
113	3426	5590
114	3445	5543
115	3465	5496
116	3484	5449
117	3502	5402
118	3522	5358
119	3544	5316
120	3567	5278
121	3588	5235
122	3609	5193
123	3633	5156
124	3655	5117
125	3676	5077
126	3707	5049
127	3728	5010
128	3748	4968
129	3766	4925
130	3786	4884
131	3805	4843
132	3823	4801
133	3843	4760
134	3862	4720
135	3881	4680
136	3902	4643
137	3922	4604
138	3940	4564
139	3966	4533
140	3990	4499
141	4008	4460
142	4031	4425
143	4049	4387
144	4070	4350
145	4089	4314
146	4109	4276
147	4130	4242
148	4150	4205
149	4171	4171
150	4191	4135
151	4211	4100
152	4235	4069
153	4254	4033
154	4277	4001
155	4298	3967
156	4327	3941
157	4355	3914
158	4378	3883
159	4398	3848
160	4423	3819
161	4443	3785
162	4462	3750
163	4481	3716
164	4500	3681
165	4519	3647
166	4538	3614
167	4557	3580
168	4575	3546
169	4594	3513
170	4613	3480
171	4635	3449
172	4704	3453
173	4728	3424
174	4751	3394
175	4774	3363
176	4797	3333
177	4819	3303
178	4846	3276
179	4869	3246
180	4887	3213
181	4906	3180
182	4924	3148
183	4942	3115
184	4961	3084
185	4979	3052
186	4998	3020
187	5016	2988
188	5034	2956
189	5053	2925
190	5071	2894
191	5090	2863
192	5108	2832
193	5126	2801
194	5145	2770
195	5166	2741
196	5185	2711
197	5204	2680
198	5222	2650
199	5241	2620
200	5259	2590
201	5278	2560
202	5296	2530
203	5314	2501
204	5333	2471
205	5351	2441
206	5369	2412
207	5388	2383
208	5407	2354
209	5425	2325
210	5444	2296
211	5463	2267
212	5481	2239
213	5500	2210
214	5518	2181
215	5537	2153
216	5555	2125
217	5574	2096
218	5592	2068
219	5610	2040
220	5629	2012
221	5650	1985
222	5669	1957
223	5688	1929
224	5706	1902
225	5726	1874
226	5744	1847
227	5763	1820
228	5786	1793
229	5804	1766
230	5823	1739
231	5841	1712
232	5860	1685
233	5882	1659
234	5903	1633
235	5926	1607
236	5949	1581
237	5972	1555
238	5999	1531
239	6024	1506
240	6042	1479
241	6060	1452
242	6077	1425
243	6095	1399
244	6113	1372
245	6131	1345
246	6148	1319
247	6167	1293
248	6185	1266
249	6203	1240
250	6221	1214
251	6240	1188
252	6258	1162
253	6277	1136
254	6295	1111
255	6313	1085
256	6332	1059
257	6351	1033
258	6369	1008
259	6391	983
260	6409	957
261	6428	932
262	6446	906
263	6464	881
264	6483	856
265	6501	831
266	6520	805
267	6538	780
268	6556	755
269	6575	730
270	6594	705
271	6613	680
272	6632	655
273	6652	631
274	6671	606
275	6690	581
276	6711	557
277	6729	532
278	6747	507
279	6766	483
280	6784	458
281	6802	434
282	6821	409
283	6840	385
284	6858	360
285	6877	336
286	6895	312
287	6914	288
288	6932	263
289	6952	239
290	6971	215
291	6989	191
292	7008	167
293	7032	143
294	7053	119
295	7074	95
296	7095	71
297	7116	47
298	7138	23
299	7166	0
